Swedish,English,num_rights
som,as,0
jag,I,0
hans,his,0
att,that,0
han,he,0
var,was,0
för,for,0
på,on,0
är,are,0
med,with,0
de,they,0
vara,be,0
vid,at,0
ett,one,0
ha,have,0
detta,this,0
från,from,0
genom,by,0
het,hot,0
ord,word,0
men,but,0
vad,what,0
några,some,0
är,is,0
den,it,0
du,you,0
eller,or,0
hade,had,0
den,the,0
av,of,0
till,to,0
och,and,0
en,a,0
i,in,0
vi,we,0
kan,can,0
ut,out,0
andra,other,0
var,were,0
vilken,which,0
göra,do,0
deras,their,0
tid,time,0
om,if,0
kommer,will,0
hur,how,0
sa,said,0
ett,an,0
varje,each,0
berätta,tell,0
gör,does,0
uppsättning,set,0
tre,three,0
vill,want,0
luft,air,0
väl,well,0
också,also,0
spela,play,0
liten,small,0
ände,end,0
sätta,put,0
hem,home,0
läsa,read,0
sidan,hand,0
port,port,0
stor,large,0
stava,spell,0
lägg,add,0
även,even,0
mark,land,0
här,here,0
must,must,0
stor,big,0
hög,high,0
sådan,such,0
följ,follow,0
handling,act,0
varför,why,0
be,ask,0
män,men,0
förändring,change,0
gick,went,0
ljus,light,0
slag,kind,0
off,off,0
behöver,need,0
hus,house,0
bilden,picture,0
försök,try,0
oss,us,0
igen,again,0
djur,animal,0
punkt,point,0
mor,mother,0
världen,world,0
nära,near,0
bygga,build,0
själv,self,0
jord,earth,0
far,father,0
någon,any,0
ny,new,0
arbete,work,0
delen,part,0
ta,take,0
få,get,0
plats,place,0
gjort,made,0
lever,live,0
där,where,0
efter,after,0
tillbaka,back,0
liten,little,0
endast,only,0
rund,round,0
människa,man,0
år,year,0
kom,came,0
visar,show,0
varje,every,0
bra,good,0
mig,me,0
ge,give,0
vår,our,0
enligt,under,0
namn,name,0
mycket,very,0
genom,through,0
bara,just,0
formulär,form,0
meningen,sentence,0
bra,great,0
tro,think,0
säga,say,0
hjälpa,help,0
låg,low,0
linje,line,0
skiljer,differ,0
tur,turn,0
orsak,cause,0
mycket,much,0
betyda,mean,0
före,before,0
drag,move,0
höger,right,0
pojke,boy,0
gammal,old,0
alltför,too,0
samma,same,0
hon,she,0
alla,all,0
där,there,0
när,when,0
upp,up,0
använda,use,0
din,your,0
sätt,way,0
ca,about,0
många,many,0
cykelverkstad,bicycle shop,0
dem,them,0
skriva,write,0
skulle,would,0
liknande,like,0
så,so,0
dessa,these,0
hennes,her,0
lång,long,0
göra,make,0
sak,thing,0
se,see,0
honom,him,0
två,two,0
har,has,0
ser,look,0
mer,more,0
dag,day,0
kunde,could,0
gå,go,0
komma,come,0
gjorde,did,0
antal,number,0
sund,sound,0
nej,no,0
mest,most,0
människor,people,0
min,my,0
över,over,0
vet,know,0
vatten,water,0
än,than,0
samtal,call,0
först,first,0
som,who,0
får,may,0
ner,down,0
sida,side,0
varit,been,0
nu,now,0
hitta,find,0
huvud,head,0
stå,stand,0
egen,own,0
sida,page,0
bör,should,0
land,country,0
